timestamp,site,generation_w,consumption_w,grid_import_w,grid_export_w,battery_soc_pct,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh
2026-09-01T00:00:00+12:00,Muriwai 5kW + Batteries,0,121,121,0,,0.0,0.01011,0.01011,0.0
2026-09-01T00:05:00+12:00,Muriwai 5kW + Batteries,0,147,147,0,,0.0,0.01229,0.01229,0.0
2026-09-01T00:10:00+12:00,Muriwai 5kW + Batteries,0,113,113,0,,0.0,0.00945,0.00945,0.0
2026-09-01T00:15:00+12:00,Muriwai 5kW + Batteries,0,110,110,0,,0.0,0.00917,0.00917,0.0
2026-09-01T00:20:00+12:00,Muriwai 5kW + Batteries,0,138,138,0,,0.0,0.01147,0.01147,0.0
2026-09-01T00:25:00+12:00,Muriwai 5kW + Batteries,0,120,120,0,,0.0,0.00999,0.00999,0.0
2026-09-01T00:30:00+12:00,Muriwai 5kW + Batteries,0,140,140,0,,0.0,0.01166,0.01166,0.0
2026-09-01T00:35:00+12:00,Muriwai 5kW + Batteries,0,142,142,0,,0.0,0.01187,0.01187,0.0
2026-09-01T00:40:00+12:00,Muriwai 5kW + Batteries,0,109,109,0,,0.0,0.00906,0.00906,0.0
2026-09-01T00:45:00+12:00,Muriwai 5kW + Batteries,0,149,149,0,,0.0,0.01239,0.01239,0.0
2026-09-01T00:50:00+12:00,Muriwai 5kW + Batteries,0,117,117,0,,0.0,0.00978,0.00978,0.0
2026-09-01T00:55:00+12:00,Muriwai 5kW + Batteries,0,128,128,0,,0.0,0.01065,0.01065,0.0
2026-09-01T01:00:00+12:00,Muriwai 5kW + Batteries,0,114,114,0,,0.0,0.0095,0.0095,0.0
2026-09-01T01:05:00+12:00,Muriwai 5kW + Batteries,0,143,143,0,,0.0,0.01194,0.01194,0.0
2026-09-01T01:10:00+12:00,Muriwai 5kW + Batteries,0,151,151,0,,0.0,0.01255,0.01255,0.0
2026-09-01T01:15:00+12:00,Muriwai 5kW + Batteries,0,165,165,0,,0.0,0.01372,0.01372,0.0
2026-09-01T01:20:00+12:00,Muriwai 5kW + Batteries,0,140,140,0,,0.0,0.01169,0.01169,0.0
2026-09-01T01:25:00+12:00,Muriwai 5kW + Batteries,0,144,144,0,,0.0,0.01201,0.01201,0.0
2026-09-01T01:30:00+12:00,Muriwai 5kW + Batteries,0,142,142,0,,0.0,0.01181,0.01181,0.0
2026-09-01T01:35:00+12:00,Muriwai 5kW + Batteries,0,111,111,0,,0.0,0.00925,0.00925,0.0
2026-09-01T01:40:00+12:00,Muriwai 5kW + Batteries,0,125,125,0,,0.0,0.01043,0.01043,0.0
2026-09-01T01:45:00+12:00,Muriwai 5kW + Batteries,0,122,122,0,,0.0,0.01015,0.01015,0.0
2026-09-01T01:50:00+12:00,Muriwai 5kW + Batteries,0,124,124,0,,0.0,0.01037,0.01037,0.0
2026-09-01T01:55:00+12:00,Muriwai 5kW + Batteries,0,129,129,0,,0.0,0.01079,0.01079,0.0
2026-09-01T02:00:00+12:00,Muriwai 5kW + Batteries,0,120,120,0,,0.0,0.01004,0.01004,0.0
2026-09-01T02:05:00+12:00,Muriwai 5kW + Batteries,0,162,162,0,,0.0,0.01354,0.01354,0.0
2026-09-01T02:10:00+12:00,Muriwai 5kW + Batteries,0,144,144,0,,0.0,0.01197,0.01197,0.0
2026-09-01T02:15:00+12:00,Muriwai 5kW + Batteries,0,150,150,0,,0.0,0.01254,0.01254,0.0
2026-09-01T02:20:00+12:00,Muriwai 5kW + Batteries,0,130,130,0,,0.0,0.01086,0.01086,0.0
2026-09-01T02:25:00+12:00,Muriwai 5kW + Batteries,0,145,145,0,,0.0,0.01212,0.01212,0.0
2026-09-01T02:30:00+12:00,Muriwai 5kW + Batteries,0,148,148,0,,0.0,0.01233,0.01233,0.0
2026-09-01T02:35:00+12:00,Muriwai 5kW + Batteries,0,153,153,0,,0.0,0.01277,0.01277,0.0
2026-09-01T02:40:00+12:00,Muriwai 5kW + Batteries,0,110,110,0,,0.0,0.00919,0.00919,0.0
2026-09-01T02:45:00+12:00,Muriwai 5kW + Batteries,0,124,124,0,,0.0,0.01033,0.01033,0.0
2026-09-01T02:50:00+12:00,Muriwai 5kW + Batteries,0,163,163,0,,0.0,0.01358,0.01358,0.0
2026-09-01T02:55:00+12:00,Muriwai 5kW + Batteries,0,127,127,0,,0.0,0.01056,0.01056,0.0
2026-09-01T03:00:00+12:00,Muriwai 5kW + Batteries,0,132,132,0,,0.0,0.01096,0.01096,0.0
2026-09-01T03:05:00+12:00,Muriwai 5kW + Batteries,0,135,135,0,,0.0,0.01127,0.01127,0.0
2026-09-01T03:10:00+12:00,Muriwai 5kW + Batteries,0,123,123,0,,0.0,0.01025,0.01025,0.0
2026-09-01T03:15:00+12:00,Muriwai 5kW + Batteries,0,124,124,0,,0.0,0.01034,0.01034,0.0
2026-09-01T03:20:00+12:00,Muriwai 5kW + Batteries,0,161,161,0,,0.0,0.01341,0.01341,0.0
2026-09-01T03:25:00+12:00,Muriwai 5kW + Batteries,0,122,122,0,,0.0,0.01015,0.01015,0.0
2026-09-01T03:30:00+12:00,Muriwai 5kW + Batteries,0,139,139,0,,0.0,0.01157,0.01157,0.0
2026-09-01T03:35:00+12:00,Muriwai 5kW + Batteries,0,112,112,0,,0.0,0.00936,0.00936,0.0
2026-09-01T03:40:00+12:00,Muriwai 5kW + Batteries,0,146,146,0,,0.0,0.01218,0.01218,0.0
2026-09-01T03:45:00+12:00,Muriwai 5kW + Batteries,0,135,135,0,,0.0,0.01122,0.01122,0.0
2026-09-01T03:50:00+12:00,Muriwai 5kW + Batteries,0,133,133,0,,0.0,0.01107,0.01107,0.0
2026-09-01T03:55:00+12:00,Muriwai 5kW + Batteries,0,142,142,0,,0.0,0.01182,0.01182,0.0
2026-09-01T04:00:00+12:00,Muriwai 5kW + Batteries,0,162,162,0,,0.0,0.01348,0.01348,0.0
2026-09-01T04:05:00+12:00,Muriwai 5kW + Batteries,0,154,154,0,,0.0,0.01287,0.01287,0.0
2026-09-01T04:10:00+12:00,Muriwai 5kW + Batteries,0,145,145,0,,0.0,0.01206,0.01206,0.0
2026-09-01T04:15:00+12:00,Muriwai 5kW + Batteries,0,152,152,0,,0.0,0.01266,0.01266,0.0
2026-09-01T04:20:00+12:00,Muriwai 5kW + Batteries,0,141,141,0,,0.0,0.01177,0.01177,0.0
2026-09-01T04:25:00+12:00,Muriwai 5kW + Batteries,0,173,173,0,,0.0,0.0144,0.0144,0.0
2026-09-01T04:30:00+12:00,Muriwai 5kW + Batteries,0,135,135,0,,0.0,0.01123,0.01123,0.0
2026-09-01T04:35:00+12:00,Muriwai 5kW + Batteries,0,132,132,0,,0.0,0.01099,0.01099,0.0
2026-09-01T04:40:00+12:00,Muriwai 5kW + Batteries,0,174,174,0,,0.0,0.01452,0.01452,0.0
2026-09-01T04:45:00+12:00,Muriwai 5kW + Batteries,0,164,164,0,,0.0,0.01363,0.01363,0.0
2026-09-01T04:50:00+12:00,Muriwai 5kW + Batteries,0,139,139,0,,0.0,0.01155,0.01155,0.0
2026-09-01T04:55:00+12:00,Muriwai 5kW + Batteries,0,165,165,0,,0.0,0.01371,0.01371,0.0
2026-09-01T05:00:00+12:00,Muriwai 5kW + Batteries,0,168,168,0,,0.0,0.01399,0.01399,0.0
2026-09-01T05:05:00+12:00,Muriwai 5kW + Batteries,0,160,160,0,,0.0,0.01337,0.01337,0.0
2026-09-01T05:10:00+12:00,Muriwai 5kW + Batteries,0,200,200,0,,0.0,0.01669,0.01669,0.0
2026-09-01T05:15:00+12:00,Muriwai 5kW + Batteries,0,200,200,0,,0.0,0.01667,0.01667,0.0
2026-09-01T05:20:00+12:00,Muriwai 5kW + Batteries,0,161,161,0,,0.0,0.01344,0.01344,0.0
2026-09-01T05:25:00+12:00,Muriwai 5kW + Batteries,0,219,219,0,,0.0,0.01826,0.01826,0.0
2026-09-01T05:30:00+12:00,Muriwai 5kW + Batteries,0,200,200,0,,0.0,0.01663,0.01663,0.0
2026-09-01T05:35:00+12:00,Muriwai 5kW + Batteries,0,223,223,0,,0.0,0.01858,0.01858,0.0
2026-09-01T05:40:00+12:00,Muriwai 5kW + Batteries,0,195,195,0,,0.0,0.01621,0.01621,0.0
2026-09-01T05:45:00+12:00,Muriwai 5kW + Batteries,0,228,228,0,,0.0,0.01896,0.01896,0.0
2026-09-01T05:50:00+12:00,Muriwai 5kW + Batteries,0,255,255,0,,0.0,0.02127,0.02127,0.0
2026-09-01T05:55:00+12:00,Muriwai 5kW + Batteries,0,227,227,0,,0.0,0.01888,0.01888,0.0
2026-09-01T06:00:00+12:00,Muriwai 5kW + Batteries,0,266,266,0,,0.0,0.0222,0.0222,0.0
2026-09-01T06:05:00+12:00,Muriwai 5kW + Batteries,11,252,241,0,,0.00092,0.02103,0.02011,0.0
2026-09-01T06:10:00+12:00,Muriwai 5kW + Batteries,30,282,252,0,,0.0025,0.02353,0.02103,0.0
2026-09-01T06:15:00+12:00,Muriwai 5kW + Batteries,48,285,238,0,,0.00396,0.02377,0.01981,0.0
2026-09-01T06:20:00+12:00,Muriwai 5kW + Batteries,66,279,213,0,,0.00554,0.02325,0.01771,0.0
2026-09-01T06:25:00+12:00,Muriwai 5kW + Batteries,91,311,219,0,,0.0076,0.02589,0.01829,0.0
2026-09-01T06:30:00+12:00,Muriwai 5kW + Batteries,114,300,186,0,,0.0095,0.02498,0.01549,0.0
2026-09-01T06:35:00+12:00,Muriwai 5kW + Batteries,136,334,197,0,,0.01136,0.02781,0.01645,0.0
