site,timestamp,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh
Muriwai 5kW + Batteries,2026-09-01T00:00:00+12:00,0.0,0.062,0.062,0.0
Muriwai 5kW + Batteries,2026-09-01T00:30:00+12:00,0.0,0.065,0.065,0.0
Muriwai 5kW + Batteries,2026-09-01T01:00:00+12:00,0.0,0.071,0.071,0.0
Muriwai 5kW + Batteries,2026-09-01T01:30:00+12:00,0.0,0.063,0.063,0.0
Muriwai 5kW + Batteries,2026-09-01T02:00:00+12:00,0.0,0.071,0.071,0.0
Muriwai 5kW + Batteries,2026-09-01T02:30:00+12:00,0.0,0.069,0.069,0.0
Muriwai 5kW + Batteries,2026-09-01T03:00:00+12:00,0.0,0.066,0.066,0.0
Muriwai 5kW + Batteries,2026-09-01T03:30:00+12:00,0.0,0.067,0.067,0.0
Muriwai 5kW + Batteries,2026-09-01T04:00:00+12:00,0.0,0.077,0.077,0.0
Muriwai 5kW + Batteries,2026-09-01T04:30:00+12:00,0.0,0.076,0.076,0.0
Muriwai 5kW + Batteries,2026-09-01T05:00:00+12:00,0.0,0.092,0.092,0.0
Muriwai 5kW + Batteries,2026-09-01T05:30:00+12:00,0.0,0.111,0.111,0.0
Muriwai 5kW + Batteries,2026-09-01T06:00:00+12:00,0.021,0.14,0.119,0.0
Muriwai 5kW + Batteries,2026-09-01T06:30:00+12:00,0.091,0.168,0.077,0.0
Muriwai 5kW + Batteries,2026-09-01T07:00:00+12:00,0.185,0.191,0.014,0.007
Muriwai 5kW + Batteries,2026-09-01T07:30:00+12:00,0.283,0.189,0.0,0.093
Muriwai 5kW + Batteries,2026-09-01T08:00:00+12:00,0.396,0.175,0.0,0.222
Muriwai 5kW + Batteries,2026-09-01T08:30:00+12:00,0.49,0.149,0.0,0.341
Muriwai 5kW + Batteries,2026-09-01T09:00:00+12:00,0.582,0.12,0.0,0.463
Muriwai 5kW + Batteries,2026-09-01T09:30:00+12:00,0.683,0.09,0.0,0.593
Muriwai 5kW + Batteries,2026-09-01T10:00:00+12:00,0.756,0.082,0.0,0.674
Muriwai 5kW + Batteries,2026-09-01T10:30:00+12:00,0.854,0.077,0.0,0.777
Muriwai 5kW + Batteries,2026-09-01T11:00:00+12:00,0.909,0.069,0.0,0.84
Muriwai 5kW + Batteries,2026-09-01T11:30:00+12:00,0.967,0.066,0.0,0.901
Muriwai 5kW + Batteries,2026-09-01T12:00:00+12:00,0.989,0.069,0.0,0.92
Muriwai 5kW + Batteries,2026-09-01T12:30:00+12:00,1.016,0.069,0.0,0.947
Muriwai 5kW + Batteries,2026-09-01T13:00:00+12:00,1.013,0.082,0.0,0.932
Muriwai 5kW + Batteries,2026-09-01T13:30:00+12:00,1.014,0.08,0.0,0.934
Muriwai 5kW + Batteries,2026-09-01T14:00:00+12:00,0.97,0.079,0.0,0.891
Muriwai 5kW + Batteries,2026-09-01T14:30:00+12:00,0.951,0.089,0.0,0.862
Muriwai 5kW + Batteries,2026-09-01T15:00:00+12:00,0.85,0.118,0.0,0.732
